# https://simplemaps.com/data/us-cities
"city","state_name","county_name"
"Arcadia","Wisconsin","Trempealeau"
"Beechwood","Michigan","Ottawa"
"Blue Earth","Minnesota","Faribault"
"Wallburg","North Carolina","Davidson"
"Jamestown","California","Tuolumne"
"North Cape May","New Jersey","Cape May"
"Beechwood Trails","Ohio","Licking"
"Milbank","South Dakota","Grant"
"South Jacksonville","Illinois","Morgan"
"New Holstein","Wisconsin","Calumet"
"Blountville","Tennessee","Sullivan"
"Oak Trail Shores","Texas","Hood"
"Acres Green","Colorado","Douglas"
"Vado","New Mexico","Doña Ana"
"Olney","Texas","Young"
"Federalsburg","Maryland","Caroline"
"Bonny Doon","California","Santa Cruz"
"Checotah","Oklahoma","McIntosh"
"Sloatsburg","New York","Rockland"
"Dahlgren","Virginia","King George"
"Lodi","Wisconsin","Columbia"
"Ocean Grove","Massachusetts","Bristol"
"Buffalo","Missouri","Dallas"
"Cadiz","Kentucky","Trigg"
"McSherrystown","Pennsylvania","Adams"
"Morongo Valley","California","San Bernardino"
"Warsaw","North Carolina","Duplin"
"Brownstown","Indiana","Jackson"
"Greenwood Lake","New York","Orange"
"Eagle Lake","Minnesota","Blue Earth"
"Fiskdale","Massachusetts","Worcester"
"East Rockingham","North Carolina","Richmond"
"Chandler","Oklahoma","Lincoln"
"Red Bay","Alabama","Franklin"
"Sonora","Texas","Sutton"
"Filer","Idaho","Twin Falls"
"Watertown","Florida","Columbia"
"Tishomingo","Oklahoma","Johnston"
"Hartville","Ohio","Stark"
"Andrews AFB","Maryland","Prince George's"
"Cleveland","Florida","Charlotte"
"Brillion","Wisconsin","Calumet"
"Anza","California","Riverside"
"Licking","Missouri","Texas"
"Moriches","New York","Suffolk"
"Eatonville","Washington","Pierce"
"Clarksville","Texas","Red River"
"Lakemore","Ohio","Summit"
"Jefferson","Ohio","Ashtabula"
"Cut Bank","Montana","Glacier"
"Savanna","Illinois","Carroll"
"Double Oak","Texas","Denton"
"Fairport Harbor","Ohio","Lake"
"Doylestown","Ohio","Wayne"
"Lake Arrowhead","Maine","York"
"Biscayne Park","Florida","Miami-Dade"
"Navy Yard City","Washington","Kitsap"
"Bethany","Missouri","Harrison"
"Paramount-Long Meadow","Maryland","Washington"
"Dyer","Tennessee","Gibson"
"Monterey","Tennessee","Putnam"
"Weaver","Alabama","Calhoun"
"Golden Beach","Maryland","St. Mary's"
"Brightwaters","New York","Suffolk"
"Big Sky","Montana","Gallatin"
"Blackhawk","South Dakota","Meade"
"Dalzell","South Carolina","Sumter"
"Bishop","Texas","Nueces"
"Wilder","Kentucky","Campbell"
"Corning","Arkansas","Clay"
"Wormleysburg","Pennsylvania","Cumberland"
"Richville","Ohio","Stark"
"Dadeville","Alabama","Tallapoosa"
"Columbus","Kansas","Cherokee"
"Montgomery","Minnesota","Le Sueur"
"Loxley","Alabama","Baldwin"
"Wildwood Crest","New Jersey","Cape May"
"Algoma","Wisconsin","Kewaunee"
"Beechwood","Mississippi","Warren"
"Ocean Grove","New Jersey","Monmouth"
"Fayetteville","Pennsylvania","Franklin"
"Sherwood","Wisconsin","Calumet"
"Johnson Creek","Wisconsin","Jefferson"
"Hill 'n Dale","Florida","Hernando"
"Wellton","Arizona","Yuma"
"Kings Beach","California","Placer"
"Benson","Minnesota","Swift"
"Heyworth","Illinois","McLean"
"DeCordova","Texas","Hood"
"McDonald","Ohio","Trumbull"
"Kimberling City","Missouri","Stone"
"Cordaville","Massachusetts","Worcester"
"Trafford","Pennsylvania","Westmoreland"
"Genoa","Ohio","Ottawa"
"Eunice","New Mexico","Lea"
"Greenfield","Minnesota","Hennepin"
"Kaunakakai","Hawaii","Maui"
"Atkins","Arkansas","Pope"
"Mazomanie","Wisconsin","Dane"
"Roosevelt Gardens","Florida","Broward"
"Penrose","Colorado","Fremont"
"Garner","Iowa","Hancock"
"Day Valley","California","Santa Cruz"
"Strathmore","California","Tulare"
"Carrizales","Puerto Rico","Hatillo"
"Emigsville","Pennsylvania","York"
"Vails Gate","New York","Orange"
"Boutte","Louisiana","St. Charles"
"Hahira","Georgia","Lowndes"
"Thermopolis","Wyoming","Hot Springs"
"Walsenburg","Colorado","Huerfano"
"Proctor","Minnesota","St. Louis"
"Ferrysburg","Michigan","Ottawa"
"Luyando","Puerto Rico","Aguada"
"Afton","Minnesota","Washington"
"Oostburg","Wisconsin","Sheboygan"
"River Bend","North Carolina","Craven"
"Edgecliff Village","Texas","Tarrant"
"Pleasant Valley","Missouri","Clay"
"Lido Beach","New York","Nassau"
"Petersburg","Illinois","Menard"
"Delphi","Indiana","Carroll"
"Shelby","Montana","Toole"
"Soda Springs","Idaho","Caribou"
"Jarrettsville","Maryland","Harford"
"Buckner","Missouri","Jackson"
"Dermott","Arkansas","Chicot"
"Everett","Pennsylvania","Bedford"
"Mohnton","Pennsylvania","Berks"
"Santa Rosa Valley","California","Ventura"
"Atoka","Oklahoma","Atoka"
"Lesslie","South Carolina","York"
"Kenvil","New Jersey","Morris"
"Strasburg","Colorado","Arapahoe"
"Granite Quarry","North Carolina","Rowan"
"Hamilton","Texas","Hamilton"
"Milton","Delaware","Sussex"
"Nashville","Illinois","Washington"
"Wyoming","Pennsylvania","Luzerne"
"Vieques","Puerto Rico","Vieques"
"Northwest Harwinton","Connecticut","Litchfield"
"Choccolocco","Alabama","Calhoun"
"Mountain Home AFB","Idaho","Elmore"
"Tularosa","New Mexico","Otero"
"Sutter","California","Sutter"
"Calais","Maine","Washington"
"DeWitt","Arkansas","Arkansas"
"K. I. Sawyer","Michigan","Marquette"
"Edgewood","Pennsylvania","Allegheny"
"Edgewood","Florida","Orange"
"Byrnes Mill","Missouri","Jefferson"
"Nocona","Texas","Montague"
"Indian Hills","Texas","Hidalgo"
"Staples","Minnesota","Todd"
"Midway","Florida","Gadsden"
"Stanton","Texas","Martin"
"Providence","Kentucky","Webster"
"Milford","Iowa","Dickinson"
"Iron River","Michigan","Iron"
"Palmer Lake","Colorado","El Paso"
"Wisconsin Dells","Wisconsin","Columbia"
"Dry Ridge","Ohio","Hamilton"
"Winnebago","Illinois","Winnebago"
"Prescott","Arkansas","Nevada"
"Royston","Georgia","Hart"
"Villalba","Puerto Rico","Villalba"
"Havana","Illinois","Mason"
"Shenandoah","Texas","Montgomery"
"West","Texas","McLennan"
"Penbrook","Pennsylvania","Dauphin"
"Genoa City","Wisconsin","Walworth"
"Fobes Hill","Washington","Snohomish"
"Park Hills","Kentucky","Kenton"
"Luis Lloréns Torres","Puerto Rico","Juana Díaz"
"Combes","Texas","Cameron"
"Lake Nacimiento","California","San Luis Obispo"
"Tonkawa","Oklahoma","Kay"
"Sumner","Illinois","Lawrence"
"Day Heights","Ohio","Clermont"
"Woodlawn Beach","Florida","Santa Rosa"
"Hawaiian Acres","Hawaii","Hawaii"
"Tangelo Park","Florida","Orange"
"Nags Head","North Carolina","Dare"
"Sherrill","New York","Oneida"
"Ferris","Texas","Ellis"
"Smithsburg","Maryland","Washington"
"Lochsloy","Washington","Snohomish"
"Fort Hall","Idaho","Bannock"
"Bayfield","Colorado","La Plata"
"Redwood","Oregon","Josephine"
"Clarence Center","New York","Erie"
"Akron","New York","Erie"
"Hayti","Missouri","Pemiscot"
"Indian Hills","Kentucky","Jefferson"
"Yountville","California","Napa"
"Gloverville","South Carolina","Aiken"
"New Richmond","Ohio","Clermont"
"Newberry","Michigan","Luce"
"Irvine","Kentucky","Estill"
"Woodbury Heights","New Jersey","Gloucester"
"Evansville","Wyoming","Natrona"
"Ellsworth","Kansas","Ellsworth"
"Kenova","West Virginia","Wayne"
"Murfreesboro","North Carolina","Hertford"
"Springfield","Kentucky","Washington"
"Lula","Georgia","Hall"
"Bal Harbour","Florida","Miami-Dade"
"Hartley","California","Solano"
"East Norwich","New York","Nassau"
"Southern Shores","North Carolina","Dare"
"Lopezville","Texas","Hidalgo"
"Lykens","Pennsylvania","Dauphin"
"South Alamo","Texas","Hidalgo"
"Summit Hill","Pennsylvania","Carbon"
"Alva","Florida","Lee"
"North Barrington","Illinois","Lake"
"Minden","Nebraska","Kearney"
"Deer Lodge","Montana","Powell"
"Flemingsburg","Kentucky","Fleming"
"Ramseur","North Carolina","Randolph"
"Graymoor-Devondale","Kentucky","Jefferson"
"The Plains","Ohio","Athens"
"Westville","Illinois","Vermilion"
"University Park","New Mexico","Doña Ana"
"Horace","North Dakota","Cass"
"Portageville","Missouri","New Madrid"
"National Park","New Jersey","Gloucester"
"Bunnell","Florida","Flagler"
"Lake Cherokee","Texas","Rusk"
"Trenton","Florida","Gilchrist"
"Stamford","Texas","Jones"
"Pioneer Village","Kentucky","Bullitt"
"East Greenville","Pennsylvania","Montgomery"
"Galateo","Puerto Rico","Toa Alta"
"Malakoff","Texas","Henderson"
"Dover","Florida","Hillsborough"
"Munsons Corners","New York","Cortland"
"Dresden","Tennessee","Weakley"
"Iuka","Mississippi","Tishomingo"
"Newton","Illinois","Jasper"
"Watkinsville","Georgia","Oconee"
"Seagraves","Texas","Gaines"
"Niantic","Connecticut","New London"
"Venetian Village","Illinois","Lake"
"Port Richey","Florida","Pasco"
"Keeseville","New York","Essex"
"Kachina Village","Arizona","Coconino"
"Elgin","South Carolina","Lancaster"
"Liberty Hill","Texas","Williamson"
"Sterlington","Louisiana","Ouachita"
"Ozona","Texas","Crockett"
"Milaca","Minnesota","Mille Lacs"
"Holiday Shores","Illinois","Madison"
"Barton Creek","Texas","Travis"
"Prince Frederick","Maryland","Calvert"
"North Sioux City","South Dakota","Union"
"Cumberland Center","Maine","Cumberland"
"Williston","South Carolina","Barnwell"
"Weedsport","New York","Cayuga"
"Allendale","South Carolina","Allendale"
"Las Lomas","California","Monterey"
"Simpsonville","Kentucky","Shelby"
"Churchill","Pennsylvania","Allegheny"
"Somerset","Wisconsin","St. Croix"
"East Syracuse","New York","Onondaga"
"Cutten","California","Humboldt"
"Florida","New York","Orange"
"Cornwall-on-Hudson","New York","Orange"
"Loogootee","Indiana","Martin"
"Chaffee","Missouri","Scott"
"Hooks","Texas","Bowie"
"New Hope","Alabama","Madison"
"Woodlynne","New Jersey","Camden"
"Wailua","Hawaii","Kauai"
"Lakeview","Oregon","Lake"
"Swift Trail Junction","Arizona","Graham"
"Cabana Colony","Florida","Palm Beach"
"Castle Rock","Washington","Cowlitz"
"Blue Hills","Connecticut","Hartford"
"Schulenburg","Texas","Fayette"
"Girard","Pennsylvania","Erie"
"Hortonville","Wisconsin","Outagamie"
"Seaside Heights","New Jersey","Ocean"
"La Fayette","Alabama","Chambers"
"Braddock Heights","Maryland","Frederick"
"Brighton","Tennessee","Tipton"
"Indialantic","Florida","Brevard"
"Natalbany","Louisiana","Tangipahoa"
"Louisville","Georgia","Jefferson"
"Womelsdorf","Pennsylvania","Berks"
"Monmouth Junction","New Jersey","Middlesex"
"South Oroville","California","Butte"
"New Madrid","Missouri","New Madrid"
"Wise","Virginia","Wise"
"Sands Point","New York","Nassau"
"Spring Lake","New Jersey","Monmouth"
"Eagle Lake","Florida","Polk"
"Channel Islands Beach","California","Ventura"
"Roslyn","New York","Nassau"
"Wyncote","Pennsylvania","Montgomery"
"Jacksonwald","Pennsylvania","Berks"
"Lodi","Ohio","Medina"
"Jacksonville","Oregon","Jackson"
"Poplarville","Mississippi","Pearl River"
"Six Mile Run","New Jersey","Somerset"
"Grape Creek","Texas","Tom Green"
"Davis","Oklahoma","Murray"
"Lucerne","California","Lake"
"Hildale","Utah","Washington"
"Gladwin","Michigan","Gladwin"
"Scott AFB","Illinois","St. Clair"
"Pocasset","Massachusetts","Barnstable"
"Marks","Mississippi","Quitman"
"Cliffwood Beach","New Jersey","Monmouth"
"Valley","Nebraska","Douglas"
"West Burlington","Iowa","Des Moines"
"Alderton","Washington","Pierce"
"Woodbury","Tennessee","Cannon"
"Bowling Green","Florida","Hardee"
"Lawnside","New Jersey","Camden"
"Halfway House","Pennsylvania","Montgomery"
"Great Neck Estates","New York","Nassau"
"Pemberton Heights","New Jersey","Burlington"
"Cherry Valley","Illinois","Winnebago"
"Brandenburg","Kentucky","Meade"
"Chincoteague","Virginia","Accomack"
"Central City","Nebraska","Merrick"
"Bartlett","Texas","Williamson"
"Colfax","Washington","Whitman"
"Williamson","West Virginia","Mingo"
"Ridgemark","California","San Benito"
"Aberdeen Proving Ground","Maryland","Harford"
"Pearl Beach","Michigan","St. Clair"
"Montana City","Montana","Jefferson"
"Buckeye Lake","Ohio","Licking"
"Lake Wilderness","Virginia","Spotsylvania"
"La Villa","Texas","Hidalgo"
"Williamstown","West Virginia","Wood"
"Bald Knob","Arkansas","White"
"Fearrington Village","North Carolina","Chatham"
"Bushnell","Illinois","McDonough"
"Harbor Bluffs","Florida","Pinellas"
"Shady Shores","Texas","Denton"
"Homestead Valley","California","San Bernardino"
"Ava","Missouri","Douglas"
"Mountain View","Arkansas","Stone"
"Knightstown","Indiana","Henry"
"North Browning","Montana","Glacier"
"Shrub Oak","New York","Westchester"
"Brackettville","Texas","Kinney"
"Lawrenceville","Virginia","Brunswick"
"Meadow Glade","Washington","Clark"
"Zephyrhills North","Florida","Pasco"
"Galena","Kansas","Cherokee"
"Belle Meade","Tennessee","Davidson"
"Oasis","California","Riverside"
"Covington","Ohio","Miami"
"Youngwood","Pennsylvania","Westmoreland"
"Fairfax","Iowa","Linn"
"Chenango Bridge","New York","Broome"
"Lake City","Pennsylvania","Erie"
"Montalvin Manor","California","Contra Costa"
"David City","Nebraska","Butler"
"Rushville","Illinois","Schuyler"
"Roebuck","South Carolina","Spartanburg"
"Gold Beach","Oregon","Curry"
"Kelly Ridge","California","Butte"
"Swartzville","Pennsylvania","Lancaster"
"Norco","Louisiana","St. Charles"
"Crown Heights","New York","Dutchess"
"Biscoe","North Carolina","Montgomery"
"Kewaunee","Wisconsin","Kewaunee"
"Clayton","Alabama","Barbour"
"Mountville","Pennsylvania","Lancaster"
"Meadowood","Pennsylvania","Butler"
"Eufaula","Oklahoma","McIntosh"
"Chico","Washington","Kitsap"
"Poplar","Montana","Roosevelt"
"Lake Wissota","Wisconsin","Chippewa"
"Almont","Michigan","Lapeer"
"Kingman","Kansas","Kingman"
"Mount Morris","Michigan","Genesee"
"Shell Point","South Carolina","Beaufort"
"Ajo","Arizona","Pima"
"Watonga","Oklahoma","Blaine"
"Marion","Kentucky","Crittenden"
"De Leon Springs","Florida","Volusia"
"Hypoluxo","Florida","Palm Beach"
"Statham","Georgia","Barrow"
"East Oakdale","California","Stanislaus"
"West Grove","Pennsylvania","Chester"
"Eagle Crest","Oregon","Deschutes"
"Jean Lafitte","Louisiana","Jefferson"
"Gambrills","Maryland","Anne Arundel"
"Whitesboro","New Jersey","Cape May"
"Thayer","Missouri","Oregon"
"Ashland","Nebraska","Saunders"
"Stigler","Oklahoma","Haskell"
"Holly Hills","Colorado","Arapahoe"
"Drumright","Oklahoma","Creek"
"Mountain Iron","Minnesota","St. Louis"
"Rio Grande","New Jersey","Cape May"
"Hanapepe","Hawaii","Kauai"
"Homer","Louisiana","Claiborne"
"Hacienda San José","Puerto Rico","Caguas"
"Winner","South Dakota","Tripp"
"Canadian","Texas","Hemphill"
"Riverview","Missouri","St. Louis"
"Arcola","Illinois","Douglas"
"North Catasauqua","Pennsylvania","Northampton"
"St. Clair","Pennsylvania","Schuylkill"
"Carson","Washington","Skamania"
"Lake City","Georgia","Clayton"
"Chatfield","Minnesota","Fillmore"
"Port Ludlow","Washington","Jefferson"
"Holly Ridge","North Carolina","Onslow"
"Oxoboxo River","Connecticut","New London"
"Big Coppitt Key","Florida","Monroe"
"Black Canyon City","Arizona","Yavapai"
"Shorewood Forest","Indiana","Porter"
"Wilton","Iowa","Muscatine"
"Moscow","Pennsylvania","Lackawanna"
"Lyndonville","Vermont","Caledonia"
"Homedale","Idaho","Owyhee"
"Castle Point","Missouri","St. Louis"
"Carrabelle","Florida","Franklin"
"Potala Pastillo","Puerto Rico","Juana Díaz"
"Park View","Iowa","Scott"
"Perkins","Oklahoma","Payne"
"Minster","Ohio","Auglaize"
"Owensville","Missouri","Gasconade"
"Hillsboro","Kansas","Marion"
"Country Squire Lakes","Indiana","Jennings"
"Clearbrook Park","New Jersey","Middlesex"
"Amery","Wisconsin","Polk"
"Tilton Northfield","New Hampshire","Belknap"
"Warden","Washington","Grant"
"Bar Nunn","Wyoming","Natrona"
"Aguada","Puerto Rico","Aguada"
"Cache","Oklahoma","Comanche"
"Bayview","California","Humboldt"
"Northeast Ithaca","New York","Tompkins"
"Osage City","Kansas","Osage"
"Pleasant Hill","Pennsylvania","Lebanon"
"Gleed","Washington","Yakima"
"Penngrove","California","Sonoma"
"Monument Beach","Massachusetts","Barnstable"
"Douglas","Michigan","Allegan"
"Daleville","Virginia","Botetourt"
"Kenhorst","Pennsylvania","Berks"
"Roseau","Minnesota","Roseau"
"Richmond","Utah","Cache"
"North Crossett","Arkansas","Ashley"
"Lake Helen","Florida","Volusia"
"Brockway","Pennsylvania","Jefferson"
"Oak Grove","Virginia","Loudoun"
"Wernersville","Pennsylvania","Berks"
"Fraser","Colorado","Grand"
"Bennett","Colorado","Adams"
"Linden","Arizona","Navajo"
"Lakewood","New York","Chautauqua"
"Seward","Alaska","Kenai Peninsula"
"Oconto Falls","Wisconsin","Oconto"
"Lake Arthur","Louisiana","Jefferson Davis"
"Delhi","Louisiana","Richland"
"Village of Grosse Pointe Shores","Michigan","Wayne"
"Rosita","Texas","Maverick"
"North Kingsville","Ohio","Ashtabula"
"Guntown","Mississippi","Lee"
"Beach City","Texas","Chambers"
"Circle D-KC Estates","Texas","Bastrop"
"Park City","Tennessee","Lincoln"
"McGovern","Pennsylvania","Washington"
"Poydras","Louisiana","St. Bernard"
"Winnie","Texas","Chambers"
"Marshville","North Carolina","Union"
"Little Flock","Arkansas","Benton"
"Sneads Ferry","North Carolina","Onslow"
"Knob Noster","Missouri","Johnson"
"Windsor","Missouri","Henry"
"Heritage Lake","Indiana","Putnam"
"Rising Sun","Maryland","Cecil"
"Sale Creek","Tennessee","Hamilton"
"Sisters","Oregon","Deschutes"
"Munising","Michigan","Alger"
"Greenwood","Pennsylvania","Blair"
"Tyndall AFB","Florida","Bay"
"Garden View","Pennsylvania","Lycoming"
"South Padre Island","Texas","Cameron"
"West Hammond","New Mexico","San Juan"
"Lindsay","Oklahoma","Garvin"
"Brighton","Alabama","Jefferson"
"Norton Center","Massachusetts","Bristol"
"Harveys Lake","Pennsylvania","Luzerne"
"Central Heights-Midland City","Arizona","Gila"
"Pine Mountain Lake","California","Tuolumne"
"Sublimity","Oregon","Marion"
"Bethel Heights","Arkansas","Benton"
"Voorheesville","New York","Albany"
"Rose Hills","California","Los Angeles"
"Plainsboro Center","New Jersey","Middlesex"
"Clever","Missouri","Christian"
"Fairfield Harbour","North Carolina","Craven"
"Albany","Minnesota","Stearns"
"Troutman","North Carolina","Iredell"
"Dodge Center","Minnesota","Dodge"
"Fairmount","Indiana","Grant"
"Marietta","Oklahoma","Love"
"Hudson","Colorado","Weld"
"Ithaca","Michigan","Gratiot"
"Millen","Georgia","Jenkins"
"Kalkaska","Michigan","Kalkaska"
"Crest","California","San Diego"
"Ford City","Pennsylvania","Armstrong"
"Onawa","Iowa","Monona"
"West Simsbury","Connecticut","Hartford"
"Pawnee","Illinois","Sangamon"
"Lakeside Park","Kentucky","Kenton"
"Gervais","Oregon","Marion"
"Loris","South Carolina","Horry"
"Westminster","Louisiana","East Baton Rouge"
"Talty","Texas","Kaufman"
"Platteville","Colorado","Weld"
"Windsor","Virginia","Isle of Wight"
"Westworth Village","Texas","Tarrant"
"Wilson's Mills","North Carolina","Johnston"
"North Shore","California","Riverside"
"East Gaffney","South Carolina","Cherokee"
"Kulpmont","Pennsylvania","Northumberland"
"Sisco Heights","Washington","Snohomish"
"Woodville","Florida","Leon"
"Caledonia","Minnesota","Houston"
"Potterville","Michigan","Eaton"
"Dulce","New Mexico","Rio Arriba"
"Green Forest","Arkansas","Carroll"
"Lakewood","South Carolina","Sumter"
"Norway","Michigan","Dickinson"
"Herald Harbor","Maryland","Anne Arundel"
"Burnettown","South Carolina","Aiken"
"South Rosemary","North Carolina","Halifax"
"Sixteen Mile Stand","Ohio","Hamilton"
"McLeansboro","Illinois","Hamilton"
"Pinch","West Virginia","Kanawha"
"Longtown","Oklahoma","Pittsburg"
"Refugio","Texas","Refugio"
"Ballville","Ohio","Sandusky"
"Luverne","Alabama","Crenshaw"
"Dayton","Oregon","Yamhill"
"Chester Heights","Pennsylvania","Delaware"
"Van","Texas","Van Zandt"
"Odem","Texas","San Patricio"
"Coeburn","Virginia","Wise"
"Manchester","Pennsylvania","York"
"Gilman","Illinois","Iroquois"
"Oak Harbor","Ohio","Ottawa"
"Vista Santa Rosa","California","Riverside"
"Koloa","Hawaii","Kauai"
"Petersburg","West Virginia","Grant"
"West Ishpeming","Michigan","Marquette"
"Mount Vernon","Texas","Franklin"
"Osseo","Minnesota","Hennepin"
"Wind Gap","Pennsylvania","Northampton"
"Sylva","North Carolina","Jackson"
"Weatogue","Connecticut","Hartford"
"Crescent City","Florida","Putnam"
"Cajah's Mountain","North Carolina","Caldwell"
"Palisade","Colorado","Mesa"
"Seven Fields","Pennsylvania","Butler"
"Agua Fria","New Mexico","Santa Fe"
"Val Verde","California","Los Angeles"
"New Cordell","Oklahoma","Washita"
"West Bishop","California","Inyo"
"Springdale","South Carolina","Lexington"
"North Hartsville","South Carolina","Darlington"
"Palmhurst","Texas","Hidalgo"
"Snowmass Village","Colorado","Pitkin"
"Val Verde Park","Texas","Val Verde"
"El Paso","Illinois","Woodford"
"Electra","Texas","Wichita"
"Pearisburg","Virginia","Giles"
"Kingston Springs","Tennessee","Cheatham"
"Evendale","Ohio","Hamilton"
"Knoxville","Illinois","Knox"
"Hartford","Kentucky","Ohio"
"Weed","California","Siskiyou"
"Cohasset","Minnesota","Itasca"
"Reynoldsville","Pennsylvania","Jefferson"
"Mount Healthy Heights","Ohio","Hamilton"
"Polk City","Florida","Polk"
"Apison","Tennessee","Hamilton"
"Ashley","Pennsylvania","Luzerne"
"Santa Rosa","Texas","Cameron"
"Tangerine","Florida","Orange"
"Norton","Kansas","Norton"
"Youngsville","Pennsylvania","Warren"
"Ravenel","South Carolina","Charleston"
"Wentworth","North Carolina","Rockingham"
"Fayetteville","West Virginia","Fayette"
"Hopkins","South Carolina","Richland"
"Lena","Illinois","Stephenson"
"Monticello","Georgia","Jasper"
"Wellford","South Carolina","Spartanburg"
"Piedra Aguza","Puerto Rico","Juana Díaz"
"Butler","Indiana","DeKalb"
"Tobaccoville","North Carolina","Forsyth"
"Skippers Corner","North Carolina","New Hanover"
"Cambridge","Wisconsin","Jefferson"
"Hamilton","Illinois","Hancock"
"Wendell","Idaho","Gooding"
"Desert Aire","Washington","Grant"
"Hayfork","California","Trinity"
"Munsey Park","New York","Nassau"
"Halesite","New York","Suffolk"
"Bonners Ferry","Idaho","Boundary"
"Follansbee","West Virginia","Brooke"
"Clarion","Iowa","Wright"
"Bermuda Run","North Carolina","Davie"
"Newport","Washington","Pend Oreille"
"Lakehurst","New Jersey","Ocean"
"Valentine","Nebraska","Cherry"
"Abernathy","Texas","Lubbock"
"Lanai City","Hawaii","Maui"
"Pine Ridge","Pennsylvania","Pike"
"Brooklyn","Michigan","Jackson"
"Jesup","Iowa","Buchanan"
"Moonachie","New Jersey","Bergen"
"Devola","Ohio","Washington"
"Inez","Texas","Victoria"
"Ridgeway","Alaska","Kenai Peninsula"
"Arcadia","Louisiana","Bienville"
"Stroud","Oklahoma","Lincoln"
"White Mountain Lake","Arizona","Navajo"
"Glen Rose","Texas","Somervell"
"St. Marys","Kansas","Pottawatomie"
"Fairmont","Illinois","Will"
"Gray Summit","Missouri","Franklin"
"Mangum","Oklahoma","Greer"
"Granite Falls","Minnesota","Yellow Medicine"
"Havana","Florida","Gadsden"
"Collierville","California","San Joaquin"
"West Sand Lake","New York","Rensselaer"
"Bawcomville","Louisiana","Ouachita"
"Many","Louisiana","Sabine"
"Heber-Overgaard","Arizona","Navajo"
"North Boston","New York","Erie"
"Aspinwall","Pennsylvania","Allegheny"
"La Luisa","Puerto Rico","Manatí"
"Hyde Park","Pennsylvania","Berks"
"White Salmon","Washington","Klickitat"
"Timberville","Virginia","Rockingham"
"Bohners Lake","Wisconsin","Racine"
"Solon","Iowa","Johnson"
"Guilford Center","Connecticut","New Haven"
"Fayette","Missouri","Howard"
"England","Arkansas","Lonoke"
"Tusculum","Tennessee","Greene"
"Strasburg","Ohio","Tuscarawas"
"Seminole Manor","Florida","Palm Beach"
"Hawthorne","Nevada","Mineral"
"Bloomingdale","Georgia","Chatham"
"Tilton","Illinois","Vermilion"
"Kilauea","Hawaii","Kauai"
"Lexington Hills","California","Santa Clara"
"Riverton","New Jersey","Burlington"
"Hampton Beach","New Hampshire","Rockingham"
"Abbeville","Georgia","Wilcox"
"Healdton","Oklahoma","Carter"
"Dupont","Pennsylvania","Luzerne"
"Grand Forks AFB","North Dakota","Grand Forks"
"Ford Heights","Illinois","Cook"
"Clayton","New Mexico","Union"
"Casey","Illinois","Clark"
"Como","Wisconsin","Walworth"
"La Selva Beach","California","Santa Cruz"
"Bloomfield","Iowa","Davis"
"Montgomery City","Missouri","Montgomery"
"Big Lake","Alaska","Matanuska-Susitna"
"Muse","Pennsylvania","Washington"
"West Brattleboro","Vermont","Windham"
"Stanley","North Dakota","Mountrail"
"Dalton","Ohio","Wayne"
"Floydada","Texas","Floyd"
"West Wyoming","Pennsylvania","Luzerne"
"Chewelah","Washington","Stevens"
"Hernando Beach","Florida","Hernando"
"Bel-Ridge","Missouri","St. Louis"
"Avery Creek","North Carolina","Buncombe"
"Mohave Valley","Arizona","Mohave"
"Cambridge Springs","Pennsylvania","Crawford"
"Foley","Minnesota","Benton"
"Jemison","Alabama","Chilton"
"East Lansdowne","Pennsylvania","Delaware"
"Girard","Kansas","Crawford"
"St. Helen","Michigan","Roscommon"
"Washoe Valley","Nevada","Washoe"
"Manatee Road","Florida","Levy"
"Morton","Pennsylvania","Delaware"
"Grundy Center","Iowa","Grundy"
"Newtown","Ohio","Hamilton"
"Chetek","Wisconsin","Barron"
"Bath","Pennsylvania","Northampton"
"Walton Park","New York","Orange"
"Desert View Highlands","California","Los Angeles"
"Juneau","Wisconsin","Dodge"
"Hokendauqua","Pennsylvania","Lehigh"
"Oronogo","Missouri","Jasper"
"Las Lomas","Texas","Starr"
"Freer","Texas","Duval"
"Trenton","Georgia","Dade"
"Dixon Lane-Meadow Creek","California","Inyo"
"Wilburton","Oklahoma","Latimer"
"Arcola","Texas","Fort Bend"
"El Lago","Texas","Harris"
"Blasdell","New York","Erie"
"Terre du Lac","Missouri","St. Francois"
"Fords Prairie","Washington","Lewis"
"Malvern","Ohio","Carroll"
"Hillsville","Virginia","Carroll"
"Summerset","South Dakota","Meade"
"Folly Beach","South Carolina","Charleston"
"Milford","New Jersey","Hunterdon"
"Townsend","Delaware","New Castle"
"Liberty","North Carolina","Randolph"
"St. Maries","Idaho","Benewah"
"Warsaw","Missouri","Benton"
"West Fork","Arkansas","Washington"
"Clifton","Tennessee","Wayne"
"Rogers City","Michigan","Presque Isle"
"Point Clear","Alabama","Baldwin"
"Lexington","Minnesota","Anoka"
"Merrimac","Virginia","Montgomery"
"Preston Heights","Illinois","Will"
"Fillmore","Utah","Millard"
"Lake City","Arkansas","Craighead"
"Tahoka","Texas","Lynn"
"Mountain View","Missouri","Howell"
"Cetronia","Pennsylvania","Lehigh"
"Middlebush","New Jersey","Somerset"
"Castle Dale","Utah","Emery"
"Crosby","Texas","Harris"
"Hallam","Pennsylvania","York"
"Round Lake Heights","Illinois","Lake"
"Marquette Heights","Illinois","Tazewell"
"Reidsville","Georgia","Tattnall"
